model,domain,metric,pos_mean,neg_mean,cohens_d_neg_minus_pos
llama3.1:8b,ai_user,words,184.767,172.8,-0.473
llama3.1:8b,ai_user,unique_ratio,0.694,0.699,0.146
llama3.1:8b,ai_user,avg_sentence_len,23.571,25.29,0.289
llama3.1:8b,ai_user,intensifiers_per100,0.169,0.232,0.2
llama3.1:8b,ai_user,emotion_per100,0.173,0.141,-0.102
llama3.1:8b,ai_user,sensory_per100,0.947,0.64,-0.314
llama3.1:8b,ai_user,exclaims,0.783,0.65,-0.137
llama3.1:8b,ai_user,quoted_dialogue,2.317,3.767,0.907
llama3.1:8b,ai_user,proper_nouns_per100,6.17,6.701,0.24
llama3.1:8b,ai_user,numbers_per100,0.307,0.307,0.0
llama3.1:8b,human_human,words,185.467,174.867,-0.407
llama3.1:8b,human_human,unique_ratio,0.687,0.711,0.689
llama3.1:8b,human_human,avg_sentence_len,24.305,26.406,0.352
llama3.1:8b,human_human,intensifiers_per100,0.183,0.169,-0.042
llama3.1:8b,human_human,emotion_per100,0.192,0.085,-0.344
llama3.1:8b,human_human,sensory_per100,1.321,0.774,-0.762
llama3.1:8b,human_human,exclaims,0.733,0.2,-0.595
llama3.1:8b,human_human,quoted_dialogue,1.467,2.267,0.711
llama3.1:8b,human_human,proper_nouns_per100,4.38,4.408,0.017
llama3.1:8b,human_human,numbers_per100,0.154,0.112,-0.146
llama3.1:8b-text-q4_K_M,ai_user,words,133.2,135.305,0.067
llama3.1:8b-text-q4_K_M,ai_user,unique_ratio,0.697,0.703,0.083
llama3.1:8b-text-q4_K_M,ai_user,avg_sentence_len,19.245,19.611,0.067
llama3.1:8b-text-q4_K_M,ai_user,intensifiers_per100,0.023,0.091,0.333
llama3.1:8b-text-q4_K_M,ai_user,emotion_per100,0.0,0.0,
llama3.1:8b-text-q4_K_M,ai_user,sensory_per100,0.112,0.233,0.286
llama3.1:8b-text-q4_K_M,ai_user,exclaims,0.433,0.237,-0.172
llama3.1:8b-text-q4_K_M,ai_user,quoted_dialogue,1.233,2,0.382
llama3.1:8b-text-q4_K_M,ai_user,proper_nouns_per100,2.096,1.506,-0.209
llama3.1:8b-text-q4_K_M,ai_user,numbers_per100,0.56,0.261,-0.333
llama3.1:8b-text-q4_K_M,human_human,words,145.9,137.233,-0.322
llama3.1:8b-text-q4_K_M,human_human,unique_ratio,0.697,0.708,0.219
llama3.1:8b-text-q4_K_M,human_human,avg_sentence_len,19.552,18.64,-0.232
llama3.1:8b-text-q4_K_M,human_human,intensifiers_per100,0.061,0.155,0.242
llama3.1:8b-text-q4_K_M,human_human,emotion_per100,0.0,0.0,
llama3.1:8b-text-q4_K_M,human_human,sensory_per100,0.424,0.486,0.09
llama3.1:8b-text-q4_K_M,human_human,exclaims,0.067,0.133,0.151
llama3.1:8b-text-q4_K_M,human_human,quoted_dialogue,1.5,1.8,0.189
llama3.1:8b-text-q4_K_M,human_human,proper_nouns_per100,0.846,0.931,0.071
llama3.1:8b-text-q4_K_M,human_human,numbers_per100,0.211,0.268,0.078
mistral:7b,ai_user,words,189.9,152.183,-1.098
mistral:7b,ai_user,unique_ratio,0.682,0.698,0.408
mistral:7b,ai_user,avg_sentence_len,20.62,20.892,0.066
mistral:7b,ai_user,intensifiers_per100,0.08,0.119,0.138
mistral:7b,ai_user,emotion_per100,0.209,0.044,-0.591
mistral:7b,ai_user,sensory_per100,0.944,0.276,-1.008
mistral:7b,ai_user,exclaims,0.467,0.4,-0.082
mistral:7b,ai_user,quoted_dialogue,1.55,1.533,-0.01
mistral:7b,ai_user,proper_nouns_per100,5.902,5.129,-0.345
mistral:7b,ai_user,numbers_per100,0.232,0.532,0.3
mistral:7b,human_human,words,234.3,213.3,-0.306
mistral:7b,human_human,unique_ratio,0.665,0.67,0.101
mistral:7b,human_human,avg_sentence_len,23.553,19.377,-0.924
mistral:7b,human_human,intensifiers_per100,0.208,0.047,-0.639
mistral:7b,human_human,emotion_per100,0.112,0.066,-0.237
mistral:7b,human_human,sensory_per100,0.768,0.616,-0.242
mistral:7b,human_human,exclaims,0.133,0.3,0.342
mistral:7b,human_human,quoted_dialogue,0.6,1.633,0.642
mistral:7b,human_human,proper_nouns_per100,5.059,4.4,-0.343
mistral:7b,human_human,numbers_per100,0.098,0.069,-0.126
mistral:7b-text-q4_K_M,ai_user,words,143.077,146.385,0.085
mistral:7b-text-q4_K_M,ai_user,unique_ratio,0.67,0.647,-0.307
mistral:7b-text-q4_K_M,ai_user,avg_sentence_len,19.103,19.788,0.118
mistral:7b-text-q4_K_M,ai_user,intensifiers_per100,0.144,0.05,-0.325
mistral:7b-text-q4_K_M,ai_user,emotion_per100,0.0,0.009,0.196
mistral:7b-text-q4_K_M,ai_user,sensory_per100,0.279,0.186,-0.209
mistral:7b-text-q4_K_M,ai_user,exclaims,0.308,0.212,-0.124
mistral:7b-text-q4_K_M,ai_user,quoted_dialogue,1.962,2.462,0.189
mistral:7b-text-q4_K_M,ai_user,proper_nouns_per100,1.918,1.7,-0.086
mistral:7b-text-q4_K_M,ai_user,numbers_per100,0.551,0.45,-0.087
mistral:7b-text-q4_K_M,human_human,words,150.967,166.933,0.482
mistral:7b-text-q4_K_M,human_human,unique_ratio,0.655,0.63,-0.516
mistral:7b-text-q4_K_M,human_human,avg_sentence_len,19.725,18.75,-0.167
mistral:7b-text-q4_K_M,human_human,intensifiers_per100,0.119,0.085,-0.125
mistral:7b-text-q4_K_M,human_human,emotion_per100,0.023,0.0,-0.258
mistral:7b-text-q4_K_M,human_human,sensory_per100,0.542,0.276,-0.468
mistral:7b-text-q4_K_M,human_human,exclaims,0.133,0.1,-0.089
mistral:7b-text-q4_K_M,human_human,quoted_dialogue,2.333,2.067,-0.123
mistral:7b-text-q4_K_M,human_human,proper_nouns_per100,1.046,0.665,-0.316
mistral:7b-text-q4_K_M,human_human,numbers_per100,0.137,0.643,0.5
qwen3:8b,ai_user,words,146.233,142.933,-0.151
qwen3:8b,ai_user,unique_ratio,0.696,0.661,-0.933
qwen3:8b,ai_user,avg_sentence_len,24.285,27.555,0.737
qwen3:8b,ai_user,intensifiers_per100,0.711,0.567,-0.275
qwen3:8b,ai_user,emotion_per100,0.012,0.047,0.274
qwen3:8b,ai_user,sensory_per100,0.91,0.296,-0.859
qwen3:8b,ai_user,exclaims,0,0.033,0.183
qwen3:8b,ai_user,quoted_dialogue,0.117,0.783,0.696
qwen3:8b,ai_user,proper_nouns_per100,2.12,0.575,-0.997
qwen3:8b,ai_user,numbers_per100,0.0,0.029,0.319
qwen3:8b,human_human,words,153.633,148.733,-0.2
qwen3:8b,human_human,unique_ratio,0.684,0.682,-0.045
qwen3:8b,human_human,avg_sentence_len,21.888,24.412,0.556
qwen3:8b,human_human,intensifiers_per100,0.253,0.052,-0.694
qwen3:8b,human_human,emotion_per100,0.046,0.0,-0.366
qwen3:8b,human_human,sensory_per100,1.596,0.517,-1.104
qwen3:8b,human_human,exclaims,0.033,0.667,0.605
qwen3:8b,human_human,quoted_dialogue,0.533,2,1.022
qwen3:8b,human_human,proper_nouns_per100,2.732,2.197,-0.306
qwen3:8b,human_human,numbers_per100,0.044,0.099,0.272
