model,domain,metric,pos_mean,neg_mean,cohens_d_neg_minus_pos
llama3.1:8b,ai_user,words,184.067,174.067,-0.454
llama3.1:8b,ai_user,unique_ratio,0.686,0.695,0.241
llama3.1:8b,ai_user,avg_sentence_len,23.917,26.207,0.361
llama3.1:8b,ai_user,intensifiers_per100,0.217,0.251,0.096
llama3.1:8b,ai_user,emotion_per100,0.171,0.123,-0.145
llama3.1:8b,ai_user,sensory_per100,0.956,0.539,-0.424
llama3.1:8b,ai_user,exclaims,0.633,0.633,0.0
llama3.1:8b,ai_user,quoted_dialogue,2.4,3.7,0.76
llama3.1:8b,ai_user,proper_nouns_per100,6.555,6.616,0.028
llama3.1:8b,ai_user,numbers_per100,0.286,0.41,0.192
llama3.1:8b,human_human,words,185.467,174.867,-0.407
llama3.1:8b,human_human,unique_ratio,0.687,0.711,0.689
llama3.1:8b,human_human,avg_sentence_len,24.305,26.406,0.352
llama3.1:8b,human_human,intensifiers_per100,0.183,0.169,-0.042
llama3.1:8b,human_human,emotion_per100,0.192,0.085,-0.344
llama3.1:8b,human_human,sensory_per100,1.321,0.774,-0.762
llama3.1:8b,human_human,exclaims,0.733,0.2,-0.595
llama3.1:8b,human_human,quoted_dialogue,1.467,2.267,0.711
llama3.1:8b,human_human,proper_nouns_per100,4.38,4.408,0.017
llama3.1:8b,human_human,numbers_per100,0.154,0.112,-0.146
