model,domain,metric,pos_mean,neg_mean,cohens_d_neg_minus_pos
llama3.1:8b-text-q4_K_M,ai_user,words,138.067,148.367,0.329
llama3.1:8b-text-q4_K_M,ai_user,unique_ratio,0.691,0.689,-0.042
llama3.1:8b-text-q4_K_M,ai_user,avg_sentence_len,19.517,18.817,-0.159
llama3.1:8b-text-q4_K_M,ai_user,intensifiers_per100,0.028,0.068,0.214
llama3.1:8b-text-q4_K_M,ai_user,emotion_per100,0.0,0.0,
llama3.1:8b-text-q4_K_M,ai_user,sensory_per100,0.208,0.309,0.195
llama3.1:8b-text-q4_K_M,ai_user,exclaims,0.233,0.2,-0.052
llama3.1:8b-text-q4_K_M,ai_user,quoted_dialogue,1,2.467,0.799
llama3.1:8b-text-q4_K_M,ai_user,proper_nouns_per100,1.397,0.952,-0.227
llama3.1:8b-text-q4_K_M,ai_user,numbers_per100,0.152,0.071,-0.204
llama3.1:8b-text-q4_K_M,human_human,words,143.9,142.767,-0.038
llama3.1:8b-text-q4_K_M,human_human,unique_ratio,0.695,0.704,0.203
llama3.1:8b-text-q4_K_M,human_human,avg_sentence_len,20.065,19.751,-0.065
llama3.1:8b-text-q4_K_M,human_human,intensifiers_per100,0.07,0.14,0.188
llama3.1:8b-text-q4_K_M,human_human,emotion_per100,0.0,0.0,
llama3.1:8b-text-q4_K_M,human_human,sensory_per100,0.512,0.352,-0.24
llama3.1:8b-text-q4_K_M,human_human,exclaims,0.133,0.067,-0.187
llama3.1:8b-text-q4_K_M,human_human,quoted_dialogue,1.4,1.733,0.198
llama3.1:8b-text-q4_K_M,human_human,proper_nouns_per100,0.953,0.607,-0.335
llama3.1:8b-text-q4_K_M,human_human,numbers_per100,0.138,0.3,0.232
