model,domain,metric,pos_mean,neg_mean,cohens_d_neg_minus_pos
qwen3:8b,ai_user,words,149.333,147.667,-0.06
qwen3:8b,ai_user,unique_ratio,0.683,0.614,-1.62
qwen3:8b,ai_user,avg_sentence_len,25.583,29.939,1.143
qwen3:8b,ai_user,intensifiers_per100,0.399,0.48,0.127
qwen3:8b,ai_user,emotion_per100,0.0,0.24,0.816
qwen3:8b,ai_user,sensory_per100,0.399,0.253,-0.371
qwen3:8b,ai_user,exclaims,0,0,
qwen3:8b,ai_user,quoted_dialogue,0,0,
qwen3:8b,human_human,words,148.333,149,0.022
qwen3:8b,human_human,unique_ratio,0.703,0.671,-1.304
qwen3:8b,human_human,avg_sentence_len,24.086,22.782,-0.258
qwen3:8b,human_human,intensifiers_per100,0.224,0.0,-0.816
qwen3:8b,human_human,emotion_per100,0.0,0.0,
qwen3:8b,human_human,sensory_per100,1.931,0.29,-0.957
qwen3:8b,human_human,exclaims,0,1.667,0.816
qwen3:8b,human_human,quoted_dialogue,1.333,2,0.375
